Author1,Author2,Author3,Author4,Author5,PubYear,Title,Journal
"Adida, C. ","Gottlieb, J. ","Kramon, E. ","McClendon, G. H.",,2019,Response Bias in Survey Measures of Voter Behavior: Implications for Measurement and Inference.         ,Journal of Experimental Political Science
"Alvarez, R. M.","Levin, I. ","Pomares, J. ","Leiras, M. ",,2013,Voting Made Safe and Easy: The Impact of e-voting on Citizen Perceptions.          ,Political Science Research and Methods
"Anderson, S. E.","Buntaine, M. T.","Liu, M. ","Zhang, B. ",,2019,Non-Governmental Monitoring of Local Governments Increases Compliance with Central Mandates: A National-Scale Field Experiment in China.      ,American Journal of Political Science
"Arias, E. ",,,,,2019,How Does Media Influence Social Norms? Experimental Evidence on the Role of Common Knowledge.        ,Political Science Research and Methods
"Arias, E. ","Balán, P. ","Larreguy, H. ","Marshall, J. ","Querubín, P.",2019,Information Provision Voter Coordination and Electoral Accountability: Evidence from Mexican Social Networks.          ,American Political Science Review 
"Atwell, P. ","Nathan, N. L.",,,,2021,Channels for Influence or Maps of Behavior? A Field Experiment on Social Networks and Cooperation.      ,American Journal of Political Science
"Avdeenko, A. ","Gilligan, M. J.",,,,2015,International Interventions to Build Social Capital: Evidence from a Field Experiment in Sudan.         ,American Political Science Review 
"Badrinathan, S. ",,,,,2021,Educative Interventions to Combat Misinformation: Evidence from a Field Experiment in India.        ,American Political Science Review 
"Baldwin, K. ",,,,,2013,Why Vote with the Chief? Political Connections and Public Goods Provision in Zambia.       ,American Journal of Political Science
"Beath, A. ","Christia, F. ","Enikolopov, R. ",,,2013,Empowering Women through Development Aid: Evidence from a Field Experiment in Afghanistan.          ,American Political Science Review 
"Bhandari, A. ",,,,,2021,Political Determinants   of Economic Exchange: Evidence from a Business Experiment in Senegal.        ,American Journal of Political Science
"Bhandari, A. ","Larreguy, H. ","Marshall, J. ",,,2021, Able and Mostly Willing: An Empirical Anatomy of Information's Effect on Voter-Driven Accountability in Senegal.      ,American Journal of Political Science
"Binder, M. ","Kogan, V. ","Kousser, T. ","Panagopoulos, C. ",,2014,Mobilizing Latino Voters.                   ,American Politics Research  
"Blair, G. ","Imai, K. ","Lyall, J. ",,,2014,Comparing and Combining List and Endorsement Experiments: Evidence from Afghanistan.            ,American Journal of Political Science
"Blair, R. A.","Karim, S. M.","Morse, B. S.",,,2019,Establishing the Rule of Law in Weak and War-torn States: Evidence from a Field Experiment with the Liberian National Police.  ,American Political Science Review 
"Blattman, C. ","Annan, J. ",",  ",,,2016, Can Employment Reduce Lawlessness and Rebellion? A Field Experiment with High-Risk Men in a Fragile State.     ,American Political Science Review 
"Bloeser, A. J.","McCurley, C. ","Mondak, J. J.",,,2012,Jury Service as Civic Engagement.                 ,American Politics Research  
"Boas, T. C.","Hidalgo, F. D.","Melo, M. A.",,,2019,Norms versus Action: Why Voters Fail to Sanction Malfeasance in Brazil.           ,American Journal of Political Science
"Bolsen, T. ","Ferraro, P. J.","Miranda, J. J.",,,2014,Are Voters More Likely to Contribute to Other Public Goods? Evidence from a Large-Scale Randomized Policy Experiment.     ,American Journal of Political Science
"Brancati, D. ",,",  ",,,2014,Building   Confidence in Elections: The Case of Electoral Monitors in Kosova.         ,Journal of Experimental Political Science
"Brierley, S. ","Kramon, E. ","Ofosu, G. K.",,,2020,The Moderating Effect of Debates on Political Attitudes. American             ,Journal of Political Science 
"Broockman, D. E.",,,,,2013,  Black Politicians Are More Intrinsically Motivated to Advance Blacks’ Interests: A Field Experiment Manipulating Political Incentives.    ,American Journal of Political Science
"Broockman, D. E.",,,,,2014,  Mobilizing Candidates: Political Actors Strategically Shape the Candidate Pool with Personal Appeals.        ,Journal of Experimental Political Science
"Broockman, D. E.",,,,,2014,  Distorted Communication Unequal Representation: Constituents Communicate Less to Representatives Not of Their Race.       ,American Journal of Political Science
"Broockman, D. E.","Ryan, T. J.",,,,2016,Preaching to the Choir: Americans Prefer Communicating to Copartisan Elected Officials.           ,American Journal of Political Science
"Buntaine, M. T.","Daniels, B. ",,,,2020,Combining bottom-up monitoring and top-down accountability: A field experiment on managing corruption in Uganda.        ,Research & Politics  
"Butler, D. M.","De Vries, C. E.","Solaz, H. ",,,2019,Studying policy diffusion at the individual level: Experiments on nationalistic biases in information seeking.        ,Research & Politics  
"Butler, D. M.","Hassell, H. J. G.",,,,2018,On the Limits of Officials’ Ability to Change Citizens’ Priorities: A Field Experiment in Local Politics.      ,American Political Science Review 
"Chang, H. I.","Peisakhin, L. ",,,,2019,Building Cooperation among Groups in Conflict: An Experiment on Intersectarian Cooperation in Lebanon.         ,American Journal of Political Science
"Cheeseman, N. I. C.","Peiffer, C. ",,,,2021,The Curse of Good Intentions: Why Anticorruption Messaging Can Encourage Bribery.           ,American Political Science Review 
"Chen, J. ","Pan, J. ","Xu, Y. ",,,2016,Sources of Authoritarian Responsiveness: A Field Experiment in China.             ,American Journal of Political Science
"Choi, D. D.","Poertner, M. ","Sambanis, N. ",,,2021,The Hijab Penalty: Feminist Backlash to Muslim Immigrants.              ,American Journal of Political Science
"Choi, D. D.","Poertner, M. ","Sambanis, N. ",,,2021,Temperature and outgroup discrimination.                  ,Political Science Research and Methods
"Choi, D. D.","Poertner, M. ","Sambanis, N. ",,,2021,Linguistic Assimilation Does Not Reduce Discrimination Against Immigrants: Evidence from Germany.             ,Journal of Experimental Political Science
"Chong, A. ","León-Ciliotta, G. ","Roza, V. ","Valdivia, M. ","Vega, G. ",2019,Urbanization Patterns Information Diffusion and Female Voting in Rural Paraguay.            ,American Journal of Political Science
